"Year","Treatment","AGB","AGB.c","AGB.d","rep","AGB.sc"
1992,"Log_Single",303.661163330078,-173.475460524606,0,"1",-1.81292272216842
1993,"Log_Single",293.639801025391,-183.496822829293,0,"1",-1.87324579119842
1994,"Log_Single",334.301055908203,-142.835567946481,0,"1",-1.62848748283999
1995,"Log_Single",345.723541259766,-131.413082594918,0,"1",-1.55973042652299
1996,"Log_Single",407.899871826172,-69.2367520285123,0,"1",-1.18546323941262
1997,"Log_Single",427.620727539062,-49.5158963156223,0,"1",-1.06675457442973
1998,"Log_Single",495.212738037109,18.0761141824246,0,"1",-0.659887983722515
1999,"Log_Single",520.390930175781,43.2543063210967,0,"1",-0.508329166043482
2000,"Log_Single",368.338104248047,-108.798519606637,0,"1",-1.4236032411415
2001,"Log_Single",213.763595581055,-263.373028273629,0,"1",-2.3540564542975
2002,"Log_Single",170.327438354492,-306.809185500192,0,"1",-2.61551814294938
2003,"Log_Single",169.246566772461,-307.890057082223,0,"1",-2.62202439320488
2004,"Log_Single",174.075271606445,-303.061352248239,0,"1",-2.5929582556709
2005,"Log_Single",203.312240600586,-273.824383254098,0,"1",-2.41696784186893
2006,"Log_Single",229.404495239258,-247.732128615426,0,"1",-2.2599068725254
2007,"Log_Single",253.247207641602,-223.889416213082,0,"1",-2.11638690564063
2008,"Log_Single",276.233947753906,-200.902676100778,0,"1",-1.97801941942366
2009,"Log_Single",301.592803955078,-175.543819899606,0,"1",-1.82537310381949
2010,"Log_Single",333.539672851562,-143.596951003122,0,"1",-1.63307058853836
2011,"Log_Single",359.425048828125,-117.711575026559,0,"1",-1.4772549145385
2012,"Log_Single",370.696899414062,-106.439724440622,0,"1",-1.40940459635639
2013,"Log_Single",356.141632080078,-120.994991774606,0,"1",-1.49701927083306
2014,"Log_Single",371.670196533203,-105.466427321481,0,"1",-1.40354588498366
2015,"Log_Single",401.046051025391,-76.0905728292933,0,"1",-1.22671945715174
2016,"Log_Single",416.856353759766,-60.2802700949183,0,"1",-1.13155016237584
2017,"Log_Single",467.499237060547,-9.63738679413734,0,"1",-0.826707961051355
2018,"Log_Single",506.386566162109,29.2499423074246,0,"1",-0.592627706644375
2019,"Log_Single",560.381286621094,83.2446627664096,0,"1",-0.267609295925977
2020,"Log_Single",620.819274902344,143.68265104766,0,"1",0.096194030236447
2021,"Log_Single",620.158935546875,143.022311692191,0,"1",0.0922191518404681
2022,"Log_Single",594.623291015625,117.486667160941,0,"1",-0.0614913319191665
2023,"Log_Single",601.544860839844,124.40823698516,0,"1",-0.0198273024581209
2024,"Log_Single",582.907287597656,105.770663742972,0,"1",-0.132015204966572
2025,"Log_Single",454.394287109375,-22.7423367453093,0,"1",-0.905592525495198
2026,"Log_Single",394.552703857422,-82.5839199972623,0,"1",-1.26580582261184
2027,"Log_Single",353.513214111328,-123.623409743356,0,"1",-1.51284089605206
2028,"Log_Single",322.241363525391,-154.895260329293,0,"1",-1.70108017373079
2029,"Log_Single",325.450469970703,-151.686153883981,0,"1",-1.68176312443754
2030,"Log_Single",359.062133789062,-118.074490065622,0,"1",-1.47943946273543
2031,"Log_Single",378.616058349609,-98.5205655050754,0,"1",-1.36173563113944
2032,"Log_Single",430.447357177734,-46.6892666769504,0,"1",-1.04973982437563
2033,"Log_Single",467.261627197266,-9.87499665741831,0,"1",-0.828138241261682
2034,"Log_Single",529.082336425781,51.9457125710967,0,"1",-0.456011698293487
2035,"Log_Single",584.581665039062,107.445041184378,0,"1",-0.121936377067798
2036,"Log_Single",573.082153320312,95.9455294656277,0,"1",-0.191157089594772
2037,"Log_Single",444.798370361328,-32.3382534933563,0,"1",-0.963354647130875
2038,"Log_Single",399.923736572266,-77.2128872824183,0,"1",-1.23347517061372
2039,"Log_Single",382.29150390625,-94.8451199484343,0,"1",-1.33961147782692
2040,"Log_Single",364.162994384766,-112.973629469918,0,"1",-1.44873509775272
2041,"Log_Single",393.060882568359,-84.0757412863254,0,"1",-1.2747857632491
2042,"Log_Single",422.237396240234,-54.8992276144504,0,"1",-1.09915925711431
2043,"Log_Single",448.727661132812,-28.4089627218723,0,"1",-0.939702485753944
2044,"Log_Single",473.101654052734,-4.03496980195035,0,"1",-0.792984503433577
2045,"Log_Single",498.663482666016,21.5268588113317,0,"1",-0.639116405954382
2046,"Log_Single",531.75927734375,54.6226534890657,0,"1",-0.439897991706077
2047,"Log_Single",565.152954101562,88.0163302468777,0,"1",-0.238886491774107
2048,"Log_Single",571.69921875,94.5625948953157,0,"1",-0.19948159229336
2049,"Log_Single",509.542877197266,32.4062533425817,0,"1",-0.573628456575863
2050,"Log_Single",492.009857177734,14.8732333230496,0,"1",-0.679167558425105
2051,"Log_Single",516.616882324219,39.4802584695346,0,"1",-0.531046850740482
2052,"Log_Single",527.864318847656,50.7276949929717,0,"1",-0.46334349173744
2053,"Log_Single",589.480651855469,112.344028000785,0,"1",-0.0924471807970538
2054,"Log_Single",637.298522949219,160.161899094535,0,"1",0.195390006518945
2055,"Log_Single",696.77294921875,219.636325364066,0,"1",0.553393221281303
2056,"Log_Single",755.83740234375,278.700778489066,0,"1",0.908928624029079
2057,"Log_Single",717.476867675781,240.340243821097,0,"1",0.678019381308543
2058,"Log_Single",597.386901855469,120.250278000785,0,"1",-0.044855920246047
